icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
a4b41c,AAL972,United States,1774544975.0,1774544980,-115.135,36.0804,,True,0.0,272.81,,,,1606.0,False,0,American Airlines
a03f24,DAL1770,United States,1774544986.0,1774544986,-73.9439,40.9762,2171.7,False,133.46,322.2,16.58,,2164.08,7153.0,False,0,Delta Air Lines
8964be,ETD2KQ,United Arab Emirates,1774544986.0,1774544986,11.1136,47.9201,12184.38,False,248.58,307.18,-0.33,,11986.26,3123.0,False,0,Etihad Airways
a03f1e,DAL467,United States,1774544986.0,1774544986,-76.7025,37.8405,10668.0,False,219.79,28.06,0.0,,10934.7,3517.0,False,0,Delta Air Lines
4bb02a,TKJ2WZ,Turkey,1774544580.0,1774544984,33.5144,35.6453,4053.84,False,186.13,153.93,-10.4,,4061.46,,False,0,Turkish Airlines
a3ef1b,UAL2670,United States,1774544986.0,1774544986,-85.0676,27.5436,11277.6,False,234.37,101.14,0.0,,11734.8,,False,0,United Airlines
780aa4,CPA153,China,1774544986.0,1774544986,119.7331,16.6486,11277.6,False,266.63,151.16,0.0,,12024.36,,False,0,Cathay Pacific
407898,BAW22B,United Kingdom,1774544917.0,1774544918,-14.1868,54.9309,11277.6,False,210.78,278.7,0.0,,11399.52,2065.0,False,0,British Airways
896621,UAE34Q,United Arab Emirates,1774544780.0,1774544782,27.771,33.1197,11277.6,False,272.98,156.33,0.0,,11330.94,2274.0,False,0,Emirates
4bb074,THY4PL,Turkey,1774544514.0,1774544987,24.8596,59.0814,4343.4,False,156.8,167.88,14.96,,4130.04,,False,0,Turkish Airlines
af83f0,BACN10,United States,1774544986.0,1774544986,-94.799,29.3016,2080.26,False,145.09,323.94,-1.95,,2186.94,,False,0,British Airways
4bb072,THY1HE,Turkey,1774544985.0,1774544985,-4.8006,36.997,7322.82,False,215.62,117.73,0.0,,7543.8,4631.0,False,0,Turkish Airlines
4bb070,THY2CC,Turkey,1774544972.0,1774544984,1.3675,43.6309,,True,9.77,140.62,,,,3374.0,False,0,Turkish Airlines
a02c40,AAL255,United States,1774544754.0,1774544755,-104.2485,36.6714,10378.44,False,206.32,250.48,0.0,,10835.64,1531.0,False,0,American Airlines
780ab6,CPA893,China,1774544986.0,1774544986,133.719,33.1722,12192.0,False,201.9,235.91,0.0,,12420.6,3202.0,False,0,Cathay Pacific
780ab7,CPA383,China,1774544986.0,1774544986,114.1352,22.157,2606.04,False,155.16,93.61,8.45,,2735.58,,False,0,Cathay Pacific
4bb06f,THY4LE,Turkey,1774544986.0,1774544986,22.2244,40.0055,10363.2,False,198.78,243.9,0.0,,10347.96,2311.0,False,0,Turkish Airlines
4bb06b,THY22E,Turkey,1774544986.0,1774544986,-5.485,35.4728,10058.4,False,248.81,239.56,0.33,,10271.76,4010.0,False,0,Turkish Airlines
4bb06a,THY533,Turkey,1774544985.0,1774544986,13.3085,33.7766,10363.2,False,191.4,212.15,0.0,,10546.08,,False,0,Turkish Airlines
ab1839,AAL1511,United States,1774544786.0,1774544795,-118.4094,33.9397,,True,0.0,278.44,,,,2662.0,False,0,American Airlines
780aab,CPA679,China,1774544986.0,1774544986,84.4828,25.8491,12192.0,False,223.1,294.38,0.33,,12534.9,5160.0,False,0,Cathay Pacific
a356f6,AAL3137,United States,1774544986.0,1774544986,-93.833,32.8847,10668.0,False,241.37,88.41,0.0,,11140.44,2354.0,False,0,American Airlines
a6e131,AAL2059,United States,1774544985.0,1774544985,-94.8584,33.0386,9753.6,False,222.57,262.56,0.0,,10203.18,2575.0,False,0,American Airlines
780abc,CPA173,China,1774544986.0,1774544986,121.1727,13.853,11277.6,False,260.44,155.87,0.0,,12039.6,,False,0,Cathay Pacific
ac382e,DAL1948,United States,1774544889.0,1774544889,-112.4491,39.1677,9448.8,False,238.21,176.16,0.0,,9799.32,,False,0,Delta Air Lines
896620,UAE49U,United Arab Emirates,1774544520.0,1774544986,32.3652,32.3006,11277.6,False,286.88,144.86,0.0,,11262.36,1636.0,False,0,Emirates
ad5837,AAL3065,United States,1774544986.0,1774544986,-100.1194,30.7116,10363.2,False,226.85,283.37,0.0,,10888.98,7375.0,False,0,American Airlines
aaf83c,AAL2166,United States,1774544984.0,1774544985,-87.9136,41.9704,,True,4.37,270.0,,,,,False,0,American Airlines
a6f482,UAL2635,United States,1774544986.0,1774544986,-88.2344,42.0027,1272.54,False,116.29,91.27,0.0,,1219.2,6015.0,False,0,United Airlines
a2cf3b,AAY4531,United States,1774544986.0,1774544986,-83.9978,42.2017,1912.62,False,162.89,63.76,-16.91,,1874.52,2676.0,False,0,American Airlines
484c50,KLM35U,Kingdom of the Netherlands,1774544985.0,1774544985,11.0751,49.4971,,True,7.72,98.44,,,,3166.0,False,0,KLM
a2bc12,UAL1391,United States,1774544986.0,1774544986,-76.7005,38.6931,10668.0,False,220.19,37.41,0.0,,10896.6,5664.0,False,0,United Airlines
a02c94,DAL2858,United States,1774544986.0,1774544986,-86.1484,37.1408,10683.24,False,236.63,203.44,0.0,,11056.62,4160.0,False,0,Delta Air Lines
a02c91,DAL920,United States,1774544986.0,1774544986,-120.0865,39.1304,9090.66,False,266.39,52.53,5.85,,9418.32,,False,0,Delta Air Lines
484c53,KLM56D,Kingdom of the Netherlands,1774544986.0,1774544987,1.4589,49.5904,10058.4,False,192.77,33.35,0.33,,10088.88,1000.0,False,0,KLM
